GL Code,GL Description,Profit Center,PC Description,CC Description,Cost Center, Opening Balance , Current Balance , CAJE , Ending Balance , Match ,Diff,
1000200,Cash Sales Clearing,,,,, -   , -   , -   , -   , -   , -   ,
1000300,Credit Card Sales Clearing,,,,, -   , -   , -   , -   , -   , -   ,
1010100,Petty Cash Fund - MBTC CA,,,,," 10,000.00 ", -   , -   ," 10,000.00 "," 10,000.00 ", -   ,
1022330,Cash in Bank - Banco de Oro (Main) - 063186,,,,," 5,710,664.05 "," 2,433,622.81 ", -   ," 8,144,286.86 "," 8,144,286.86 ", -   ,
1022331,Cash in Bank - Banco de Oro (Incoming) - 063186,,,,," 421,919.73 "," (45,085.04)", -   ," 376,834.69 "," 376,834.69 ", -   ,
1022331D000,Cash in Bank - Banco de Oro (Incoming) - 063186,D000,Finance and Accounting,,," (65,000.00)", -   , -   ," (65,000.00)", -   ,"-65,000.00 ",
1022331D000,Cash in Bank - Banco de Oro (Incoming) - 063186,D000,Finance and Accounting,3400D000,Finance & Accounting," 65,000.00 ", -   , -   ," 65,000.00 ", -   ," 65,000.00 ",
1022332,Cash in Bank - Banco de Oro (Outgoing) - 063186,,,,," (1,938,029.42)"," 1,900,529.42 ", -   ," (37,500.00)"," (37,500.00)", -   ,
1022340,Cash in Bank - Banco de Oro (Main) - 087506,,,,," 667,089.79 ", 28.33 , -   ," 667,118.12 "," 667,118.12 ", -   ,
1022340D000,Cash in Bank - Banco de Oro (Main) - 087506,D000,Finance and Accounting,,, 20.87 , -   , -   , 20.87 , 20.87 , -   ,
1022341,Cash in Bank - Banco de Oro (Incoming) - 087506,,,,, -   , -   , -   , -   , -   , -   ,
1025310,(Main)Bank of the Philippine Islands 8885-8060-75,,,,," 419,752.89 ", 53.63 , -   ," 419,806.52 "," 419,806.52 ", -   ,
1025311,(Inc)Bank of the Philippine Islands 8885-8060-75,,,,, -   , -   , -   , -   , -   , -   ,
1028190,(Main)EastWest Bank 2000-204-22806,,,,," 526,582.84 "," (46,101.68)", -   ," 480,481.16 "," 480,481.16 ", -   ,
1028191,(Inc)EastWest Bank 2000-204-22806,,,,," 880,778.17 "," (276,555.74)", -   ," 604,222.43 "," 604,222.43 ", -   ,
1031740,Cash in Bank - Metrobank (Main) - 505553,,,,," 19,930,608.13 "," 13,091,253.04 ", -   ," 33,021,861.17 "," 33,021,861.17 ", -   ,
1031741,Cash in Bank - Metrobank (Incoming) - 505553,,,,," 5,203,100.13 "," (3,547,074.63)", -   ," 1,656,025.50 "," 1,656,025.50 ", -   ,
1031742,Cash in Bank - Metrobank (Outgoing) - 505553,,,,, -   , -   , -   , -   , -   , -   ,
1031750,Cash in Bank - Metrobank (Main) - 505502,,,,," 9,146,860.68 "," (745,713.08)", -   ," 8,401,147.60 "," 8,401,147.60 ", -   ,
1031750A000,Cash in Bank - Metrobank (Main) - 505502,A000,Vehicle Sales,3400A000,Vehicle Sales, -   , -   , -   , -   , -   , -   ,
1031750H002,Cash in Bank - Metrobank (Main) - 505502,H002,Admin,3400H002,Admin, -   , -   , -   , -   , -   , -   ,
,,,,,,,,,,, -   ,
,,,,,,,,,,, -   ,
,,,,,,,,,,, -   ,
,,,,,,,,,,, -   ,
,,,,,,,,,,, -   ,
,,,,,,,,,,, -   ,
,,,,,,,,,,, -   ,
,,,,,,,,,,, -   ,
,,,,,,,,,,, -   ,
,,,,,,,,,,, -   ,
,,,,,,,,,,, -   ,
,,,,,,,,,,, -   ,
,,,,,,,,,,, -   ,
,,,,,,,,,,, -   ,
,,,,,,,,,,, -   ,
,,,,,,,,,,, -   ,
,,,,,,,,,,, -   ,
,,,,,,,,,,, -   ,
